reference_id,SATS,GCSE,GCE_AS,GCE_A
342393239,107,5,C,B
686095849,97,3,E,E
536637795,111,6,B,B
560243100,113,6,C,C
847419636,89,1,U,E
409980574,95,4,C,E
748438500,106,3,B,B
448014003,102,4,B,B
126548166,105,3,D,C
601369767,98,1,C,U
592650739,112,4,B,C
564099124,111,6,B,C
373659916,106,3,D,B
236571913,114,3,E,A*
614065509,109,4,D,D
658005519,98,1,D,C
255896211,108,4,D,B
208490295,97,2,D,C
534294871,112,4,A,A
143118033,105,3,C,C
274276181,104,3,B,B
368933868,100,5,B,B
514423270,115,8,A,C
718448269,104,3,U,C
259069935,102,5,B,C
304887483,102,5,C,D
367683513,109,3,C,D
475423637,108,3,B,B
526446545,108,6,C,A
718446021,108,3,D,C
866272909,120,6,B,A
585048868,102,3,C,D
663273314,101,4,C,B
832411388,98,2,D,D
581567905,110,5,C,B
609629825,114,7,B,C
994792382,104,4,C,C
781343075,98,1,E,E
317018690,98,1,D,E
508372086,110,4,A,B
767895833,111,7,C,C
569903212,109,3,C,D
489093988,100,4,C,B
647523921,107,4,D,C
438368065,106,3,B,B
710372839,107,4,B,B
758376392,112,5,C,A
908215522,107,4,B,B
960001333,110,7,A,C
740333965,106,5,B,B
795029462,107,3,C,B
397110473,110,7,C,C
923978092,93,4,E,E
558902485,102,3,D,B
880772691,101,5,D,C
295425981,100,4,B,B
379272512,103,4,D,B
658214929,117,7,B,A
620724389,98,2,E,C
462328390,113,4,C,A
118983433,92,4,D,D
207464218,102,5,C,D
981256107,106,5,D,D
396378471,110,4,A,A
627355069,111,7,B,A
984062295,111,5,C,B
544714548,102,3,D,C
275450360,101,5,D,D
376949971,112,5,A,B
762589932,103,4,D,C
669358756,95,1,E,E
302337525,96,1,C,C
497353144,98,1,U,D
266911001,109,4,D,D
466766662,106,5,C,B
295196695,111,4,B,C
981685211,102,3,B,B
526421987,106,5,D,D
677648247,110,6,B,C
136931941,103,4,B,B
288665543,109,5,C,D
990031748,100,4,B,B
727165259,102,5,C,B
317745130,102,4,B,B
487153795,95,4,C,U
871677347,109,2,E,U
316040063,101,4,B,C
698358089,105,4,B,D
574600434,109,5,C,B
550586133,109,5,B,D
440765995,110,4,A,A
395186351,104,3,B,C
562351006,102,5,D,D
819159978,104,4,B,B
806077935,92,1,E,E
141248239,93,1,D,U
541152017,94,3,U,U
454249567,97,1,U,U
941707260,108,3,D,C
473898509,98,1,E,D
322144510,102,5,C,C
325825443,115,9,B,B
275317884,102,3,D,D
497691282,111,5,C,A
337734007,98,2,U,C
609969780,103,5,B,B
307778141,97,3,C,D
654089252,102,4,B,D
702849988,112,5,B,A
894274461,91,3,U,E
169091982,108,5,B,B
147650022,107,4,D,B
514006795,100,3,D,D
564412917,93,1,U,D
509540789,106,5,C,B
650198845,101,5,D,D
690837431,107,3,C,B
588738254,105,3,D,B
631403978,118,8,B,A
247666682,103,5,C,D
518247027,97,3,E,E
587366943,106,5,C,D
171035690,107,3,C,D
971819272,116,9,A,A*
669902492,112,7,A,B
745979905,108,5,B,B
581061703,117,9,A,B
937623711,95,1,E,U
962283333,100,3,B,B
286171024,98,2,U,D
155259618,102,3,D,D
381552034,94,2,E,U
691847525,110,7,B,A
113633155,103,4,C,B
422952617,93,2,D,C
858178855,97,3,C,E
978021095,108,5,B,B
912949464,112,5,C,A
303926014,120,9,A,B
947039169,120,8,A,B
545626769,108,5,B,C
332593029,97,1,U,E
902051897,88,3,U,D
523458346,107,4,C,D
649056866,98,3,U,U
368871449,102,3,D,C
850556695,100,4,C,C
576293157,104,5,B,B
616542570,114,7,C,B
162628005,106,5,D,C
756986077,104,3,C,D
918830412,97,4,E,U
972468483,92,3,E,U
997758413,101,4,C,D
818498867,105,4,D,C
554339586,119,9,A,A*
820346335,106,4,C,C
543876399,113,6,C,A
679468148,101,3,B,C
866916140,96,2,C,D
614930402,97,2,U,E
441126650,99,3,E,C
479843965,120,6,A,A*
611468371,98,3,B,C
623404215,112,5,C,A
382200108,98,3,D,D
580636272,112,4,C,C
358804051,108,3,C,B
950223366,104,4,B,D
853840389,105,3,C,B
441539268,100,4,B,C
454320208,109,3,C,B
359629362,101,4,E,E
654637779,95,2,E,C
609447608,95,1,D,C
853265984,106,5,B,B
559646364,118,6,B,B
838937799,106,3,D,B
152258992,104,4,C,B
424013732,107,4,D,C
741335046,115,6,B,A*
445133397,107,4,D,C
758143548,102,4,D,C
632717775,114,7,B,A
535766334,108,4,D,D
602056429,117,6,A,A*
911415669,106,5,D,B
710717023,95,3,C,U
985529950,94,6,E,B
831621519,118,6,A,B
902127816,119,9,A,A*
935076756,104,5,B,B
585195576,102,3,C,C
538752410,117,7,B,A*
625333589,96,3,D,U
922817158,98,1,E,C
880083547,110,5,A,B
941524122,102,5,B,B
972154630,105,4,B,C
661210392,104,3,B,D
333132869,108,5,C,B
235649012,116,7,A,A*
907896615,106,5,B,C
525075256,110,6,C,C
768890752,89,2,D,U
762022456,105,3,C,B
328730784,98,3,C,E
551254787,95,1,C,C
904974437,98,3,C,D
819864839,102,3,C,D
925070534,112,5,C,B
792809587,94,3,U,D
182033209,105,4,B,C
283247309,101,5,D,B
252141080,102,3,D,D
219488026,113,5,C,C
735251077,109,4,D,B
922357317,116,8,B,B
388342405,104,4,B,C
981841484,99,1,C,E
938257204,103,5,C,D
195420229,107,5,D,B
881656971,106,5,B,B
199685763,96,3,C,E
506114246,106,3,D,C
262702655,107,5,D,C
622455241,120,7,B,C
862393549,120,8,A,C
528717011,98,1,C,D
884232276,103,4,C,B
490017046,93,2,D,U
764262976,100,4,B,D
974721837,108,5,B,C
436837204,115,6,B,A*
568871792,99,3,E,E
391978245,100,5,B,C
136996894,88,3,D,D
606425649,104,3,B,D
435174722,97,2,D,D
799306209,101,3,D,D
836821908,98,4,D,U
986441637,104,5,C,C
493146032,91,4,C,E
194831719,93,4,E,C
536789286,120,8,B,A
496483476,95,1,D,E
286733727,96,1,C,C
472700733,120,9,A,A
893317235,120,6,A,C
142934716,96,1,C,C
641743937,102,5,B,B
308121640,108,4,B,C
873450265,119,6,B,A*
427679949,97,3,U,D
561278854,103,3,C,D
905641224,111,6,C,C
694514979,108,3,D,B
850936487,102,5,B,D
850360754,104,5,C,D
132584328,94,2,C,U
508866782,103,5,C,D
984297251,103,4,B,B
416766495,107,1,D,B
268306424,101,4,C,B
186057019,109,3,C,D
813986241,113,5,B,B
152917199,106,5,D,C
374402440,108,5,D,B
598953459,105,3,C,B
140324772,105,4,B,B
257319547,99,3,U,U
994636382,108,4,B,D
512074079,104,5,C,D
373181788,120,6,A,C
882811446,118,8,B,A
337759328,108,5,B,D
874447467,99,5,D,E
777620135,96,2,C,C
488818268,115,5,C,A
982676291,107,3,D,B
618807184,109,5,B,C
770851643,91,1,U,U
986359323,112,7,B,A
532638165,109,3,C,C
697280599,96,3,U,D
160388661,101,5,D,C
485752871,107,4,E,C
722067515,105,5,D,C
441098279,103,3,B,D
462998360,104,5,C,B
274787412,103,3,D,C
231669132,106,3,B,B
590870726,117,9,B,A*
274177179,84,1,D,U
432298842,103,3,D,B
567956893,106,5,C,B
144929425,107,5,B,B
478373315,102,4,D,B
380442183,91,3,D,D
382549088,108,5,B,D
932400859,119,9,B,C
370222610,93,3,D,C
892841696,112,6,B,B
300756821,102,4,B,D
946821563,105,4,B,B
191445634,97,2,D,C
444094138,102,5,B,D
824514280,115,9,B,A
946503149,110,7,A,C
953668789,119,8,B,A*
892210929,114,5,B,A
968007761,109,4,B,B
523418049,119,5,C,B
390787180,109,4,D,D
446465495,112,4,B,C
223946157,103,3,D,B
976304157,106,4,D,C
271554824,99,3,E,E
654678772,113,4,A,B
309198863,96,2,D,D
697637666,111,7,C,C
523318504,103,5,D,D
194593571,114,7,C,C
434902093,111,6,C,C
757650010,120,8,A,B
820345892,111,6,C,B
360600698,92,4,U,D
756640931,104,5,C,C
482067730,96,3,D,D
163140484,101,3,D,D
210436681,117,7,B,C
436319528,110,4,A,A
344097976,99,3,C,D
206986613,97,4,D,C
804718124,105,4,C,D
513033132,95,3,D,D
736390374,100,4,C,C
101789018,107,5,C,C
461998329,114,7,A,A
619725882,110,6,B,A
971283597,87,2,D,D
512500278,107,5,C,D
905698493,106,5,D,D
458586498,108,5,D,C
455221676,118,4,B,C
243785566,88,3,E,E
749903032,100,4,B,C
117533728,110,6,C,C
476287539,92,2,D,D
490687405,117,8,A,B
134716648,108,4,C,C
576398279,112,4,A,C
974773553,100,4,C,B
544237673,112,6,A,B
391624781,114,6,B,A
617198490,107,4,C,C
406726020,107,5,C,D
242877602,107,5,B,B
856363356,98,1,E,U
998784560,104,5,C,B
447325220,104,4,C,D
183243959,108,3,B,B
247152317,113,7,A,C
905773139,97,4,C,C
892742987,104,3,D,B
542364081,117,6,A,A*
884235865,99,2,C,D
300434464,98,1,U,U
460305436,107,3,B,C
201518858,112,4,B,A
590351062,105,4,C,B
729478101,116,9,A,A
965429870,112,4,B,A
779005373,112,2,A,A*
698402534,109,4,D,B
706096614,120,6,A,B
666173677,103,4,B,B
477883784,89,1,E,D
550028282,118,9,B,A
118006500,101,6,E,A*
810584112,106,5,B,B
546450069,115,7,A,C
884107423,92,1,U,U
452683815,95,2,U,U
857095802,92,1,U,D
439185981,99,3,D,C
672040211,109,4,D,D
175893377,109,5,B,D
574280485,107,4,D,C
497207783,94,3,D,E
649544766,87,3,U,D
626771950,105,5,D,B
196975828,101,3,B,C
145008737,109,3,B,D
212859116,111,7,B,C
295933434,106,5,B,B
754033479,111,5,C,C
342276020,107,5,E,C
972952380,109,5,C,C
178063714,99,2,E,U
557023727,104,4,D,B
744227434,107,3,C,C
810852014,112,5,C,C
520628228,102,4,E,A
878219982,109,3,C,B
691898082,103,4,D,B
385201823,104,5,C,C
239388990,112,2,E,A*
242487256,89,1,D,E
370280673,95,1,D,C
756522354,93,1,C,D
419244426,86,3,E,D
231518363,100,4,D,B
172028156,111,6,B,C
494361985,103,5,D,D
288892798,107,4,D,B
760722540,114,5,A,A
403156391,116,8,A,B
212765484,104,3,D,C
498477848,116,6,A,A*
133895258,106,4,D,B
200309614,98,4,C,D
412757278,100,1,C,A
921189965,93,2,E,U
202180471,98,1,D,C
849705012,102,4,B,D
379729952,111,7,A,A
128673529,119,7,A,B
364438511,94,3,D,U
905994278,108,3,B,C
313610516,97,4,C,D
772377705,109,5,C,D
146330165,104,3,C,D
655743660,90,1,C,D
725447750,112,7,C,A
237335318,100,5,D,C
487956601,101,5,B,D
935987218,96,4,E,D
482257322,100,4,E,E
522872140,108,5,B,D
463893300,103,3,B,C
984618009,108,5,C,B
485545418,108,4,D,B
664613805,116,9,B,A*
437329352,102,5,C,D
860177446,93,3,C,D
474353503,114,5,C,C
700290567,102,3,C,D
150918300,114,4,B,A
709799536,108,5,D,C
849458068,104,3,D,C
498146982,108,5,D,D
624687623,120,6,B,A
699329211,120,8,A,D
655646787,106,3,B,D
132125372,106,5,D,D
236585635,114,7,A,A
632334238,98,2,E,E
865216104,108,5,B,C
928629125,105,4,B,C
665372663,108,4,D,C
744862028,98,4,C,D
626329063,92,2,C,E
799873343,88,3,E,E
978314395,96,3,C,E
512574106,101,7,A,U
471695860,103,3,C,C
256104455,120,6,B,A*
981398310,114,6,B,A
920966577,97,1,U,D
693276836,108,3,D,D
284241986,102,5,B,B
918527151,103,5,C,D
152192355,106,5,D,C
655770209,110,7,A,B
328178313,102,3,B,D
509032846,114,5,A,C
185616590,96,1,U,D
221265218,105,3,B,C
439252572,120,8,B,A
457934308,107,5,B,C
893420873,116,9,B,B
637798140,106,4,C,C
937687841,110,5,A,A
649384959,105,3,B,B
846376826,104,3,C,C
931664463,99,4,C,U
561827501,108,5,C,D
503191816,98,4,U,C
718043828,110,4,B,C
129946039,114,5,C,C
951449503,108,5,C,C
693694513,103,3,D,C
983185992,109,5,C,B
878825461,103,4,B,C
572274148,112,6,C,C
876069618,90,1,U,U
135804483,102,5,D,B
120750249,89,3,U,E
206378604,93,1,E,E
961861798,116,7,A,A*
586478777,112,5,A,A*
185061139,99,3,E,E
111982732,93,4,U,E
685210992,81,3,E,D
734978627,101,4,C,C
484474062,120,6,B,B
174815064,108,5,D,C
675637542,101,4,C,D
292131285,109,5,B,D
370797075,93,3,U,E
772037664,103,5,B,D
290883015,106,4,D,C
665273329,104,3,B,B
120837773,111,4,A,C
158070716,108,3,D,D
687884441,110,6,C,B
840108587,99,3,E,E
976167518,112,6,A,C
339510462,118,6,B,B
394458486,97,2,D,E
656389236,98,1,D,C
639360089,116,9,B,A
648424587,103,4,D,B
383193269,116,6,B,A*
150545040,101,4,B,B
122438271,117,8,B,C
997584895,106,5,D,C
465720362,107,3,D,D
502894488,118,9,A,A*
663485525,102,5,D,C
284820974,97,4,C,C
443777744,101,3,C,B
493072919,109,4,C,D
185435503,92,4,C,E
642755751,110,7,B,A
274414030,101,4,B,C
102735802,114,4,C,A
658897581,86,1,D,U
370120202,99,2,U,E
