reference_id,SATS,GCSE,GCE_AS,GCE_A
835724108,107,5,B,B
489964504,97,4,D,B
153659217,111,6,A,A*
301853339,113,8,A,A
968991804,90,3,D,D
309088266,95,5,D,B
430536852,106,7,C,A
641101726,102,6,B,C
607024112,105,4,B,C
785814546,98,5,B,D
535702912,112,6,B,B
502707050,111,7,B,B
174080679,106,4,A,C
282408130,114,9,A,C
139024186,109,5,C,B
578832009,98,4,D,D
640575547,108,6,C,C
583860517,97,2,U,C
387630447,112,9,A,A*
752250168,105,5,B,A
471188571,104,4,B,B
164959269,100,4,A,A
454301431,115,9,B,A*
655798588,104,7,C,A
208561358,102,7,C,B
336892101,102,8,B,C
721704720,109,6,D,C
626586812,108,5,A,A
245924449,108,6,A,C
332752373,108,7,B,A
356858075,120,9,B,A
279127235,102,7,A,B
756920025,101,4,A,A
570428482,98,3,B,D
158604801,110,9,A,A
767573731,114,6,B,A
972219680,104,5,C,C
386237135,98,4,B,B
442375012,98,5,B,B
861757149,110,6,A,C
886423636,111,8,A,A
303798139,109,7,B,A
744184724,100,6,B,B
596513504,107,8,A,B
151491774,106,5,A,C
707790881,107,5,C,A
685844029,112,9,B,B
227408649,107,7,C,A
537029799,110,6,B,A
294633073,106,4,B,B
171951908,107,4,B,C
442349441,110,9,B,A*
193930226,93,4,D,D
759696581,102,7,A,B
872654318,101,4,C,A
559237472,100,7,B,B
772833759,103,6,A,A
353647746,117,8,B,B
864197491,98,4,D,B
417280935,113,6,A,C
661685551,92,7,D,A*
451112902,102,4,A,B
543350581,106,5,C,B
842686328,110,8,A,A*
739928687,111,9,A,B
982588069,111,8,A,A*
566366567,102,7,C,A
343290978,101,7,A,A
531801017,112,6,B,A
431759770,103,4,B,B
167498390,95,4,B,B
470555079,96,4,D,B
908205625,98,3,D,B
742888562,109,4,B,A
747365142,106,7,C,A
563192638,111,8,A,B
629960326,102,7,B,C
314606471,106,4,C,C
188314898,110,7,A,A
635513805,103,6,C,A
626615286,109,7,A,A
107698480,100,4,B,A
674850036,102,6,B,B
856596911,102,4,B,C
477134065,95,5,B,B
167876892,109,7,C,B
389402012,101,6,B,A
425332159,105,5,B,A
158288528,109,6,A,C
235516689,109,6,A,C
506234164,110,8,B,A
585898373,104,6,B,B
128963438,102,6,C,A
111704188,104,5,B,A
587212213,92,4,D,D
785312646,93,5,D,B
242744854,94,4,D,C
355727344,97,3,C,B
760616817,108,7,B,B
727354660,98,4,B,C
485553332,102,4,A,A
805248497,115,7,A,A
922313341,102,4,A,A
183555570,111,8,B,A*
187608824,98,5,C,D
468721183,103,7,C,B
945048663,97,4,B,D
363386548,102,6,C,C
876440318,112,6,A,A*
465924709,91,3,B,C
264807842,108,4,C,A
806513878,107,5,A,A
801678982,100,5,C,B
818287938,93,3,C,B
599280656,106,6,B,C
679368193,101,5,A,A
501491585,107,4,A,B
180286753,105,7,A,B
365243883,118,6,B,C
236271407,103,7,A,B
846508268,97,4,C,D
865443390,106,5,B,A
979830433,107,4,C,A
743332138,116,7,B,A
575769677,112,8,A,C
971708709,108,5,B,A
743619691,117,6,B,B
298486789,95,4,C,D
605403477,100,5,A,A
565633955,98,3,C,C
991464376,102,5,A,A
491096850,94,2,B,C
639024788,110,6,A,C
363950461,103,4,B,A
738611167,93,3,B,B
960944092,97,5,B,D
742387693,108,5,B,B
657517257,112,7,A,C
651699150,120,6,A,A*
774501013,120,7,B,A*
112169207,108,7,C,C
913425203,97,3,C,D
566344099,90,5,B,D
717399765,107,4,C,A
526795933,98,3,C,B
454038383,102,4,A,C
432275132,100,5,B,C
748259716,104,7,C,B
494240371,114,8,A,C
584174308,106,6,C,C
750711631,104,7,B,A
626434784,97,5,B,B
566862089,92,3,D,D
366831507,101,7,C,B
637410796,105,5,C,A
928931899,119,6,D,D
216365435,106,4,C,C
653519088,113,8,B,B
685337838,101,5,A,C
777830165,96,3,B,D
640920044,97,4,D,C
479809559,99,3,C,D
536682244,120,5,A,D
484814675,98,5,C,D
240725419,112,6,A,A*
260947720,98,3,B,C
239406365,112,9,A,A
125555538,108,7,B,A*
159816354,104,6,C,B
153208043,105,6,A,A
110147500,100,6,A,C
664980508,109,4,C,C
103049286,101,4,B,B
848021834,95,3,B,C
348639459,95,5,D,B
834512193,106,7,C,A
285738232,118,6,A,A
536891573,106,5,B,A
672778686,104,6,B,C
559127903,107,5,C,B
120247332,115,6,A,A
519287024,107,6,A,C
333862719,102,7,C,C
604741339,114,6,A,C
705206536,108,5,C,D
780063042,117,9,B,A*
537742773,106,4,C,C
254659567,95,5,D,B
785700997,94,4,C,D
687877821,118,6,A,C
905750772,119,9,B,B
995421862,104,5,C,B
254349976,102,7,B,A
704161647,117,6,B,C
227194829,96,3,D,D
869323610,98,3,C,B
390351261,110,8,B,A
795569593,102,5,A,A
685179593,105,6,B,C
206646459,104,5,C,A
663720490,108,6,B,B
301159148,116,9,B,A*
305144213,106,6,B,B
552934951,110,9,A,C
894056422,90,3,C,C
982390814,105,7,A,B
532378898,98,4,B,B
141917002,95,3,B,B
810193568,98,3,C,B
362137736,102,6,A,A
266964358,112,9,B,C
539471966,94,3,C,C
991170205,105,5,A,A*
767155310,101,5,A,C
310588885,102,7,C,C
637713522,113,6,A,B
322646878,109,5,A,A
341026084,116,9,B,A*
444042673,104,6,A,C
576859279,99,5,B,D
784095168,103,3,C,A*
438609561,107,6,B,A
653037955,106,7,C,B
256994318,96,3,C,D
339079031,106,7,A,C
976016846,107,7,B,B
831638018,120,9,B,A*
297706810,120,7,B,A
219241756,98,4,D,B
768930240,103,7,C,A
296583282,93,4,C,B
513143919,100,7,A,B
744779597,108,6,C,A
486300328,115,7,B,B
425624996,99,3,D,D
780779420,100,4,A,C
405204831,90,3,B,C
517610554,104,6,A,C
490771138,97,4,A,U
963951214,101,7,B,B
221494539,98,5,D,D
948216046,104,5,A,C
178497940,91,4,B,B
