Ref_ID,SATS,GCSE,GCE_AS,GCE_A_level
28116263,109,1,D,B
26641565,103,1,B,C
22670302,110,3,B,B
74594628,119,5,A,B
76891113,102,5,C,D
77812908,102,3,C,D
17194327,120,3,A,B
86838320,112,1,A,B
95766969,99,3,D,C
94990220,109,2,D,D
70907675,99,3,D,U
89738950,99,6,B,B
94560659,106,2,D,D
28091111,85,2,E,U
71167142,87,2,U,U
56396066,98,6,A,B
63257179,94,1,D,U
43974461,107,4,A,D
94142101,95,4,D,A*
82530552,90,3,C,E
90076614,119,1,A,B
53356031,102,3,D,D
85434282,105,3,C,D
79059756,90,4,C,E
72336184,99,3,U,E
36210997,105,2,B,B
48729169,92,2,U,U
75489590,108,4,B,D
92120265,98,7,A,C
74140327,101,5,B,B
90924718,98,2,D,C
51615160,120,8,A*,A
38594453,104,5,B,B
28757237,93,4,U,U
99298282,112,4,A,C
94710223,92,2,E,E
79573091,106,3,B,C
96532301,84,3,D,E
97110962,91,2,C,D
67329765,106,5,C,C
24015886,111,4,C,A
54135980,106,1,D,D
74843193,103,3,C,C
59198897,101,1,C,B
94681963,89,3,D,D
98581161,97,1,C,E
10141717,99,4,E,D
90670239,115,8,A*,A
89444313,107,2,C,D
44228977,86,1,E,U
18212508,107,5,B,C
84851314,100,4,B,B
12747028,97,4,E,E
13280317,110,1,B,C
22649982,114,7,A,B
20360569,113,1,C,B
23419762,96,2,U,D
49183344,101,2,D,B
14332777,107,5,D,C
26751993,114,3,B,B
68271748,99,1,U,D
15102459,102,3,B,D
99266880,93,4,C,C
49577121,92,1,E,D
60804160,112,6,A,C
70934533,118,1,B,C
20945249,103,3,C,D
54867882,114,2,B,A
54406762,108,5,C,D
20772926,98,4,U,U
18822841,108,3,B,D
65138840,119,9,A*,A
73256677,104,4,D,D
24932093,120,4,A*,C
74136586,80,2,E,D
37818056,112,1,B,A
24782039,105,2,A,U
14175530,101,3,B,D
44614145,105,2,D,C
21184467,84,3,E,E
67491550,102,3,D,C
62999570,108,2,B,D
23267853,119,8,A,A
45286444,99,4,D,U
84604691,96,4,C,D
93421418,99,1,D,D
77492227,113,4,C,C
87745895,107,5,D,B
75146087,99,2,C,D
93708834,109,4,C,D
53546746,105,7,C,C
49422054,114,1,B,C
15215460,97,2,E,U
33971663,101,3,B,C
26126706,100,8,E,E
76780895,89,3,D,D
39173521,107,4,B,D
81813361,107,4,B,B
14507426,104,5,C,C
28219009,102,4,B,D
83001484,90,3,U,C
97135856,100,4,C,B
87346291,101,5,B,C
68682867,96,2,E,E
92140068,102,3,C,B
61429400,108,1,B,B
44208106,120,5,A*,B
87101048,106,5,B,D
68198674,107,2,D,D
21016320,103,8,U,A*
40747351,85,7,D,A
86961960,104,7,D,C
43178576,105,3,C,C
47068034,120,1,A*,B
76620771,102,2,B,C
99774890,107,7,B,B
63649891,104,2,C,C
52754469,92,4,E,E
22807236,115,8,A*,C
71089474,112,3,B,A
18318963,112,1,A,E
53312394,95,4,D,E
51716348,118,5,A,C
52664855,90,3,E,D
73773720,110,3,B,C
66168669,120,8,B,A
72271228,94,3,D,C
39265668,98,2,E,C
19890813,105,1,D,B
83083154,99,4,E,C
14110368,88,3,D,E
95056602,105,5,D,B
80828461,93,2,D,D
34895013,109,5,C,B
74298265,95,3,E,D
66913231,119,3,B,C
30086206,96,1,C,D
31175494,101,5,B,C
89007563,112,7,C,B
71151416,92,4,U,C
16576488,106,1,B,C
21478560,117,4,A*,C
88423537,88,2,E,U
68491842,106,4,D,C
46241029,107,4,C,D
78427755,112,5,C,B
10760204,92,1,U,D
13085123,91,3,U,D
56863837,109,5,D,D
92393966,107,2,B,B
96047856,107,8,E,B
63045119,107,2,C,C
53449136,97,1,U,C
34316803,106,3,D,D
16755198,107,1,B,C
90533435,97,3,D,U
51911652,120,4,A*,B
87516713,109,3,D,D
98678121,92,3,D,E
72953036,111,1,B,C
98023631,94,3,D,U
12474199,112,7,A,B
68905308,116,8,A,B
11995690,96,3,C,D
68223724,114,7,A,C
54141954,108,5,D,B
18492244,112,7,B,C
76421785,120,2,A,A
49740611,102,1,D,D
49764208,96,5,A,U
77682285,95,6,B,B
66503178,96,4,D,U
79504756,103,1,C,D
97936050,107,1,B,B
71695452,107,2,D,C
83825580,112,5,B,B
72564299,104,5,D,B
22826971,119,8,A,A
67210977,101,5,B,C
89907431,120,6,A,A*
74231476,110,5,A,A
98081516,95,2,C,E
44096092,93,2,E,D
64263273,109,1,C,D
43728388,102,1,B,D
42011555,111,3,C,A
92308343,109,5,B,C
99294482,103,2,D,D
97326755,96,2,D,E
77901276,89,1,E,U
74587665,100,1,C,C
25649078,113,3,A,C
53046767,106,1,B,C
59850322,92,2,C,U
52951418,106,1,D,C
23262130,108,4,C,B
47741552,95,2,D,C
49165685,106,2,B,B
28700151,105,2,D,B
15497906,93,3,D,D
66662204,108,2,B,D
