ref_id,SATS_score,GCSE_grade,GCE_AS_grade,GCE_A_grade,GCE_A_Maths_grade
1006542,109,5,C,A,C
1005075,104,6,A,A*,B
1000951,110,7,B,C,C
1000164,117,9,A,B,B
1002633,103,7,A,B,C
1004462,103,7,B,C,C
1001625,118,6,A,B,B
1006570,111,6,B,A,B
1008781,101,6,A,C,C
1002870,109,5,A,C,C
1007750,101,7,B,A,C
1001703,101,5,A,B,C
1006762,107,6,A,B,C
1007181,90,4,C,D,E
1005765,91,3,C,D,E
1004333,101,6,B,C,C
1007000,97,4,B,B,D
1001391,108,4,A,B,C
1004525,98,3,C,C,D
1004499,94,5,A,B,C
1009965,117,8,A,A,B
1009203,103,7,A,A,B
1004868,106,7,B,B,C
1001998,94,5,C,B,D
1008582,101,5,A,A,C
1005410,106,4,B,B,C
1007205,96,3,B,B,D
1005399,108,4,C,A,C
1008493,100,7,B,C,C
1004829,103,4,C,C,D
1007485,100,7,C,C,C
1007064,120,8,B,C,B
1004322,105,6,B,B,C
1004715,97,3,C,C,D
1006644,112,9,B,A,B
1006666,95,5,B,C,D
1006091,107,4,A,B,C
1005136,90,5,C,B,D
1001293,94,3,B,D,E
1001576,107,6,A,A,B
1008859,111,7,A,C,C
1005609,106,4,B,C,D
1001206,104,4,B,B,C
1006502,103,5,B,A,C
1004843,93,4,D,B,D
1004364,99,5,D,B,D
1001761,101,4,A,A,C
1007972,113,6,B,C,C
1003196,108,4,B,B,C
1003665,91,3,C,D,E
1006553,108,4,A,C,C
1002539,102,4,C,C,D
1009544,100,7,A,C,C
1001113,110,8,B,A,B
1006123,113,7,B,A,B
1001262,112,8,A,A*,B
1003806,98,3,C,C,D
1009081,103,5,A,C,C
1007128,108,5,B,B,C
1005790,113,7,B,B,B
1008829,101,6,A,C,C
1008605,104,7,B,B,C
1000529,96,5,D,B,D
1004545,95,3,D,D,E
1004389,112,8,B,A,B
1003943,116,8,A,A,B
1004687,104,6,B,B,C
1004401,113,7,B,C,C
1001546,108,5,C,B,C
1005617,100,4,A,C,D
1006290,108,4,A,B,C
1009867,117,6,B,A,B
1006343,105,6,A,A,B
1003811,118,7,B,C,C
1002915,90,3,D,C,E
1004951,112,6,A,B,C
1002712,106,6,A,C,C
1000001,103,5,A,B,C
1001401,106,6,B,C,C
1009625,90,3,C,B,D
1006410,103,6,C,C,C
1007790,108,4,A,A,C
1003006,117,6,A,A,B
1003862,101,7,C,B,C
1008949,99,5,C,C,D
1005272,101,7,A,C,C
1008559,112,7,A,C,C
1006888,108,6,B,B,C
1003373,101,5,B,B,C
1003829,109,7,A,B,B
1009374,106,6,C,A,C
1003344,113,7,B,A,B
1009325,99,5,B,C,D
1005756,102,5,A,A,C
1008265,102,4,B,B,C
1003090,93,3,B,B,D
1008868,107,4,A,A,C
1004432,107,7,C,C,C
1007806,105,4,A,C,C
1008448,103,6,B,B,C
1007722,94,3,B,B,D
1002143,102,6,C,A,C
1001942,102,6,A,B,C
1009426,99,5,C,B,D
1008632,104,6,A,B,C
1003940,108,6,C,A,C
1004452,120,7,A,C,B
1008963,106,8,B,B,B
1003694,107,5,A,A,C
1001993,104,7,C,C,C
1009645,90,5,D,B,D
1006801,105,6,A,A,B
1001607,105,5,A,C,C
1004524,120,6,B,C,C
1008037,103,5,A,A,C
1001691,107,4,C,C,D
1002848,105,6,B,B,C
1002063,96,4,C,D,D
1004657,114,8,A,C,B
1000017,111,7,B,B,C
1009147,111,8,A,C,B
1008263,98,5,C,C,D
1002199,116,8,B,A,B
1008639,94,3,C,C,D
1005039,110,8,A,B,B
1007898,120,9,A,A,A
1008530,97,4,C,D,D
1004770,100,7,A,A,B
1002300,106,7,B,C,C
1004171,101,4,A,A,C
1004460,93,4,B,C,D
1006899,106,7,C,A,C
1004455,97,3,D,C,D
1000753,109,4,B,B,C
1004622,98,3,D,C,D
1009706,117,9,A,C,B
1004725,99,4,C,B,D
1004828,102,6,A,A,C
1009030,112,8,A,B,B
1002182,95,5,D,B,D
1001808,107,4,B,C,D
1008544,115,7,B,B,B
1002879,92,4,B,C,D
1005883,106,6,A,A,B
1000254,107,7,C,C,C
1006764,111,7,A,A,B
1004746,95,5,C,B,D
1004170,94,4,B,D,D
1003354,109,5,B,C,C
1007795,107,5,C,A,C
1000628,107,7,C,C,C
1006355,108,5,A,C,C
1008730,100,6,C,B,C
1005176,107,7,C,C,C
1002960,107,5,C,E,D
1002287,99,4,C,D,D
1000273,120,9,A,C,B
1009700,109,6,A,B,C
1001158,95,5,D,C,D
1009723,110,8,A,B,B
1007104,97,3,B,D,D
1008032,111,9,A,C,B
1009438,114,7,A,B,B
1000230,98,4,B,B,D
1001681,113,7,B,A,B
1005904,108,5,C,A,C
1003828,112,8,B,C,C
1000535,120,6,A,C,C
1008427,103,5,C,C,D
1009618,99,4,C,D,D
1001535,98,3,D,B,D
1006322,98,3,C,B,D
1009026,104,5,A,A,C
1008785,108,5,A,B,C
1001502,107,4,A,B,C
1001868,112,8,A,B,B
1000078,105,4,C,A,C
1006295,117,9,A,A,A
1009501,103,5,B,A,C
1001537,120,7,A,B,B
1002297,110,8,B,C,C
1006217,98,4,B,C,D
1005471,96,3,C,D,E
1000956,109,6,B,A,B
1001305,103,7,B,B,C
1002225,111,7,A,B,B
1009631,109,7,A,A,B
1008680,104,4,B,C,D
1004891,98,5,D,B,D
1000196,93,4,D,D,E
1009102,101,4,C,B,D
