ref_id,SATS_score,GCSE_grade,GCE_AS_grade,Alevel_Maths_grade
1002670,120,6,A,A
1004752,108,5,B,B
1002953,105,7,B,B
1007545,93,4,D,D
1005538,113,6,A,A
1006814,116,9,A,A*
1005957,103,4,C,C
1006759,119,6,B,A
1005670,108,5,C,B
1008487,111,8,A,A
1006678,98,3,B,C
1003688,102,5,C,C
1006481,115,9,A,A*
1004509,120,6,B,A
1004483,104,6,A,B
1009487,118,7,A,A
1001529,101,5,A,B
1000712,104,4,B,C
1006861,112,8,B,A
1007301,97,5,D,C
1008599,103,7,C,B
1006533,98,3,C,C
1000433,107,7,A,B
1002410,104,4,B,C
1004603,94,5,D,C
1002663,107,5,A,B
1005801,93,4,B,C
1005808,100,4,B,C
1005093,92,4,D,D
1000429,97,3,D,D
1009249,102,6,C,B
1006298,108,6,A,B
1005165,103,4,B,C
1004409,98,4,D,C
1009225,104,5,A,B
1006163,111,9,A,A*
1008693,98,2,E,D
1000792,94,3,C,D
1001500,93,4,B,C
1003005,112,9,A,A*
1002002,91,4,B,C
1000458,94,3,C,D
1006901,114,7,A,A
1001434,111,6,B,B
1003804,114,7,B,A
1001844,102,5,B,B
1002043,108,5,B,B
1008736,99,5,B,C
1006321,102,4,C,C
1001357,112,6,B,B
1003085,90,5,C,C
1004735,100,7,C,B
1001428,99,5,B,C
1008412,105,7,C,B
1008198,114,6,C,B
1008457,105,4,C,C
1004109,103,7,A,B
1008016,90,4,D,D
1008329,101,5,A,B
1004823,103,6,B,B
1001767,106,5,B,B
1001673,108,7,A,A
1008908,109,6,B,B
1000136,96,3,D,D
1004329,120,5,C,B
1002783,101,6,C,C
1005674,105,6,A,B
1006545,109,4,A,B
1004674,100,6,C,C
1006260,110,9,A,A*
1006954,103,5,A,B
1004864,93,5,B,C
1000801,120,7,B,A
1008215,95,4,B,C
1008570,97,5,B,C
1009469,120,6,B,A
1001445,97,3,B,C
1006645,113,7,B,B
1009296,99,1,E,E
1008004,118,6,B,B
1008339,116,8,B,A
1004480,97,3,C,C
1001552,108,5,C,B
1003218,104,7,B,B
1002268,103,7,C,B
1005353,100,5,A,B
1004909,100,4,B,C
1007177,101,7,B,B
1000478,105,7,A,B
1007589,112,7,B,B
1003480,104,5,A,B
1002822,117,7,B,A
1001815,109,7,C,B
1003966,90,5,B,C
1003042,101,6,B,B
1003589,109,7,B,B
1002872,107,5,B,B
1003338,93,4,B,C
1005477,90,3,C,D
1004861,120,7,B,A
1006329,106,4,B,B
1002425,113,9,A,A*
1008774,97,4,B,C
1005266,120,7,A,A
1004105,105,4,C,C
1007365,120,6,A,A
1000518,102,5,C,C
1000298,97,5,C,C
1008199,109,6,C,B
1002345,96,3,C,C
1007986,106,5,A,B
1002973,105,3,D,C
1005885,108,6,A,B
1000941,98,3,B,C
1005036,109,8,A,A
1008872,96,6,A,B
1005869,103,7,A,B
1009415,97,4,D,C
1001185,110,8,A,A
1005387,98,4,D,C
1001130,103,6,C,B
1009728,120,7,B,A
1002675,110,7,B,B
1008122,105,7,B,B
1009346,90,4,C,C
1001590,95,3,D,D
1006085,104,4,B,C
1006502,100,7,B,B
1009392,119,8,A,A
1005857,102,5,A,B
1006115,112,7,B,B
1007864,107,2,C,C
1007033,102,4,C,C
1005947,107,7,A,B
1001271,97,4,C,C
1008865,110,7,A,A
1005656,109,5,B,B
1004852,90,5,C,C
1009860,107,7,A,B
1001030,109,5,C,B
1001999,92,3,B,C
1001541,104,6,C,B
1007469,118,9,A,A*
1006580,120,6,B,A
1007420,90,4,C,C
1008966,93,3,C,D
1002356,105,7,C,B
1004500,116,7,A,A
1001993,110,9,A,A*
1000827,90,4,C,C
1009518,107,7,A,B
1001858,99,5,D,C
1000531,109,5,C,B
1002277,104,6,A,B
1009824,94,3,D,D
1000390,107,5,A,B
1004876,104,6,C,B
1006799,119,7,A,A
1002211,120,9,A,A*
1009368,105,7,B,B
1000110,109,5,B,B
1008927,107,4,C,C
1006622,90,4,B,C
1009702,110,8,A,A
1000659,90,5,C,C
1007180,100,6,C,C
1008172,104,4,B,C
1000141,107,9,A,A*
1008311,111,7,B,B
1006753,118,6,A,A
1009721,106,7,A,B
1006833,99,3,B,C
1000284,108,2,E,D
1000914,105,6,C,B
1007059,108,4,C,C
1008183,111,7,A,A
1004174,112,7,B,B
1002681,104,7,C,B
1005062,115,9,A,A*
1002940,103,6,A,B
1006018,116,9,A,A*
