ref_id,SATS_score,GCSE_grade,GCE_AS_grade,GCE_A_grade,GCE_A_Maths_grade
1005299,109,5,C,A,B
1000017,104,4,B,A,B
1007310,110,7,B,C,B
1003271,117,9,A,B,B
1001295,103,5,C,D,C
1004784,103,7,B,C,C
1005947,118,6,A,B,B
1007740,111,6,B,A*,B
1006054,101,6,A,A,B
1000251,109,4,B,A,B
1000438,101,4,B,A,B
1005948,101,5,A,B,B
1005907,107,6,A,B,B
1007756,90,3,D,E,D
1005914,91,3,C,D,D
1002457,101,6,B,C,C
1003200,97,4,B,B,C
1005342,108,4,A,B,B
1004599,98,3,C,C,C
1008857,94,4,B,C,C
1008850,117,8,A,A,A
1007483,103,7,A,A,B
1003828,106,7,B,B,B
1000197,94,5,C,B,C
1008511,101,7,A,A*,B
1001626,106,4,B,B,B
1001708,96,3,B,B,C
1008921,108,4,C,A,B
1000917,100,7,B,C,C
1004275,103,4,C,C,C
1008785,100,7,C,C,C
1005691,120,8,B,C,B
1002359,105,6,B,B,B
1001663,97,3,C,C,C
1009795,112,9,B,A*,A
1000628,95,5,B,B,C
1009142,107,5,C,A,B
1009518,90,4,B,C,C
1005569,94,5,D,B,C
1004480,107,4,A,A,B
1007925,111,9,B,B,B
1004038,106,5,C,C,C
1000492,104,5,C,C,C
1001607,103,5,B,B,B
1007157,93,4,B,C,C
1003935,99,3,B,B,C
1003034,101,4,A,C,C
1004864,113,9,B,A,B
1009503,108,4,C,C,C
1001928,91,3,C,C,C
1002633,108,4,B,C,C
1002048,102,4,A,C,C
1008122,100,4,C,C,C
1001588,110,9,A,A*,A
1008504,113,9,B,A*,A
1000196,112,9,B,A,B
1008344,98,3,B,C,C
1005168,103,6,A,C,B
1007114,108,6,A,C,B
1003330,113,7,A,B,B
1004519,101,6,C,B,B
1003628,104,5,B,B,B
1002746,96,3,C,B,C
1008788,95,5,D,C,C
1007775,112,7,B,C,B
1009287,116,9,B,A*,A
1005094,104,4,C,C,C
1009820,113,8,B,A,B
1004920,108,6,B,A,B
1009221,100,6,B,B,B
1009986,108,5,C,C,C
1004952,117,7,B,B,B
1004977,105,4,A,C,C
1001430,118,6,B,B,B
1004115,90,3,D,B,C
1000228,112,8,B,A*,A
1005312,106,6,B,C,C
1006025,103,4,C,C,C
1009796,106,5,C,B,B
1004968,90,5,A,A,B
1003472,103,7,C,B,B
1009755,108,6,B,A,B
1008152,117,7,B,A*,A
1009209,101,4,B,A,B
1001337,99,5,D,D,C
1002496,101,4,A,A,B
1002220,112,6,A,A,B
1003452,108,7,C,B,B
1004455,101,6,B,B,B
1009437,109,7,A,C,B
1003365,106,5,C,A,B
1006976,113,9,A,B,B
1001701,99,4,C,C,C
1008804,102,7,A,B,B
1000663,102,6,C,A,B
1002837,93,4,D,B,C
1003579,107,7,A,A,B
1002054,107,5,B,A,B
1002563,105,6,C,B,B
1002566,103,5,C,A,B
1005528,94,5,D,B,C
1008303,102,6,C,C,C
1003124,102,5,A,B,B
1001824,99,5,C,C,C
1005913,104,4,A,A,B
1003870,108,6,C,A,B
1005971,120,8,B,B,B
1007718,106,6,B,A,B
1002988,107,6,A,B,B
1001034,104,6,C,A,B
1009681,90,4,C,D,C
1001330,105,7,C,C,C
1006484,105,5,A,A,B
1005854,120,9,A,A*,A
1002977,103,7,C,C,C
1008747,107,6,C,A,B
1001535,105,6,A,A,B
1008808,96,4,B,D,C
1001485,114,5,C,D,C
1009610,111,7,A,A*,A
1001904,111,8,B,C,B
1005840,98,3,D,B,C
1003366,116,7,A,A*,A
1008000,94,4,C,D,C
1006729,110,8,A,C,B
1004443,120,7,B,B,B
1003795,97,5,C,D,C
1000426,100,6,B,B,B
1003915,106,6,C,A,B
1009938,101,4,B,B,C
1001338,93,5,C,B,C
1004215,106,5,B,C,C
1005350,97,5,B,C,C
1002927,109,4,C,A,B
1002940,98,3,E,D,D
1007864,117,7,A,C,B
1000825,99,5,D,D,C
1001002,102,7,B,C,C
1007523,112,7,A,A*,A
1005746,95,4,D,D,D
1008299,107,5,B,C,C
1000305,115,7,A,A,B
1007666,92,5,B,B,C
1006082,106,6,B,B,B
1004126,107,6,C,A,B
1008869,111,6,A,C,B
1009530,95,4,D,C,C
1007339,94,4,B,C,C
1009335,109,6,A,A,B
1002590,107,7,C,C,C
1005141,107,5,A,A,B
1008806,108,7,B,A,B
1001213,100,7,B,A,B
1008020,107,4,B,B,B
1003363,107,5,E,D,C
1002518,99,3,B,D,C
1005271,120,6,A,A*,A
1008799,109,6,C,A,B
1004352,95,3,C,D,D
1005246,110,6,A,A,B
1005897,97,1,E,E,E
1008291,111,9,B,A*,A
1001306,114,9,B,A,A
1000700,98,5,C,B,C
1005224,113,9,B,B,B
1001691,108,6,B,C,C
1009903,112,8,A,C,B
1006634,120,9,A,A*,A
